srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Mizoram,Lunglei,Total,251,147,52,9,0,0,0,459,0,0,0,0,0,0,0,0,4,3,17,72,25,,,0.054347826,0.019565217,0.991304348,0.006521739,114.75,0.00931677,0.037892535,0.029913837,0.99132245,0.002095431,0.566653113
Mizoram,Champhai,Civil,22,56,13,2,0,0,0,93,0,0,0,0,0,0,0,0,0,0,17,17,0,,,0,0.021276596,0.989361702,0,93,0,0,0.032530413,0.989379769,0.001698258,0.573612309
Mizoram,Champhai,Criminal,44,151,83,8,0,0,0,286,0,0,0,0,0,0,0,0,0,0,1,4,0,,,0,0.027874564,0.996515679,0,286,0,0,0.042618242,0.996533877,0.0052226,0.569164319
Mizoram,Champhai,Total,66,207,96,10,0,0,0,379,0,0,0,0,0,0,0,0,0,0,18,21,0,,,0,0.026315789,0.997368421,0,379,0,0,0.040234985,0.997386634,0.006920858,0.569414381
Punjab,Ludhiana,Civil,25811,14972,7767,4530,487,12,2,53581,37350,5350,3674,7207,18021,6692,18091,7205,337,6,6476,5163,19819,,,0.369881677,0.093893472,0.999869359,0.000111978,7654.428571,0.000159968,0.257889881,0.143556492,0.999887618,0.139776279,0.469651745
Punjab,Ludhiana,Criminal,46078,24989,12423,4691,288,6,0,88475,75889,4227,8450,0,48282,3556,29830,6508,2175,1238,1652,4713,29941,,,0.338408156,0.056342963,0.985996202,0.013992495,71.40839387,0.019989279,0.235945829,0.086144414,0.986014207,0.001303977,0.508990331
Punjab,Ludhiana,Total,71889,39961,20190,9221,775,18,2,142056,113239,9577,12124,7207,66303,10248,47921,13713,2512,1244,8128,9876,49760,,,0.350281929,0.070506909,0.991235912,0.008757048,114.1012048,0.012510069,0.244224493,0.107800089,0.991254013,0.002083584,0.498888362
Punjab,Jalandhar,Civil,16393,10106,4776,2395,119,6,0,33795,23551,2612,2441,5191,12466,3264,13216,4849,180,5,8221,6838,1309,,,0.038732394,0.074565037,0.999822464,0.000147947,5632.5,0.000211352,0.027005102,0.11400468,0.999840722,0.102854169,0.535198726
Punjab,Jalandhar,Criminal,23877,9162,5255,2535,84,3,0,40916,32345,1684,6887,0,13786,1518,21980,3631,2429,1686,1960,4468,1113,,,0.027201408,0.064080944,0.958770193,0.041205367,24.2537048,0.05886481,0.018965437,0.097975242,0.958787701,0.000442893,0.571281549
Punjab,Jalandhar,Total,40270,19268,10031,4930,203,9,0,74711,55896,4296,9328,5191,26252,4782,35196,8480,2609,1691,10181,11306,2422,,,0.032417818,0.068824285,0.977353036,0.02263358,44.15543735,0.032333685,0.022602437,0.105227475,0.977370883,0.000806315,0.559189073
